,Year,fema_declaration_string,disaster_number,state,declaration_type,declaration_date,incident_type,declaration_title,ih_program_declared,ia_program_declared,pa_program_declared,hm_program_declared,incident_begin_date,incident_end_date,disaster_closeout_date,fips,place_code,designated_area,declaration_request_number,last_ia_filing_date,hash,last_refresh,id,Death toll,Damage costUS$,Main article,Location,Notes
61103,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48457.0,99457.0,Tyler (County),21009.0,,23ea34d28714a6fe570d02e46f33428984cb2687,2022-04-26T19:01:43Z,60c3b862a0ee349d710aed78,,,,,
61104,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48477.0,99477.0,Washington (County),21009.0,,4dfda227ebc82684b92b98d9e5c0f76e69aaab21,2022-04-26T19:01:43Z,60c3b862a0ee349d710aedbc,,,,,
61085,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48467.0,99467.0,Van Zandt (County),21009.0,,802a9abe36a7c35b0787b97b5a3fc189d685d67f,2022-04-26T19:01:43Z,60c3b862a0ee349d710aed9b,,,,,
61086,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48503.0,99503.0,Young (County),21009.0,,ec370c6067ffce9a88fa77ac66d218743c257ae4,2022-04-26T19:01:43Z,60c3b862a0ee349d710aedf9,,,,,
60976,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48303.0,99303.0,Lubbock (County),21009.0,,ab494f2184cea6f59c5f833df61b84b9a304bc12,2022-04-26T19:01:43Z,60c3b862a0ee349d710aebd7,,,,,
61084,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48489.0,99489.0,Willacy (County),21009.0,,cc12cf9a587f5a6a8eeac1a920000bb7bdfdaea2,2022-04-26T19:01:43Z,60c3b862a0ee349d710aeddd,,,,,
60971,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48237.0,99237.0,Jack (County),21009.0,,0c2ec3c934d9367d0f40845c8b77b321f122f071,2022-04-26T19:01:43Z,60c3b862a0ee349d710aeb34,,,,,
60965,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48221.0,99221.0,Hood (County),21009.0,,79a5393347492561f713477faa1b71be352baacd,2022-04-26T19:01:43Z,60c3b862a0ee349d710aeb13,,,,,
60966,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48233.0,99233.0,Hutchinson (County),21009.0,,313e1398e740884383b8023a7aeb9881d2186626,2022-04-26T19:01:43Z,60c3b862a0ee349d710aeb2c,,,,,
60967,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48281.0,99281.0,Lampasas (County),21009.0,,780e47de2206ae835f048ce73e4f89b8075ae51f,2022-04-26T19:01:43Z,60c3b862a0ee349d710aeba9,,,,,
60968,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48263.0,99263.0,Kent (County),21009.0,,4d8fa9dc65c2cb5a2547fb6f8402aab352074774,2022-04-26T19:01:43Z,60c3b862a0ee349d710aeb6f,,,,,
60969,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48293.0,99293.0,Limestone (County),21009.0,,a29813b3555d7b2bf449500fd37ada6d55d70dff,2022-04-26T19:01:43Z,60c3b862a0ee349d710aebc5,,,,,
60970,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48291.0,99291.0,Liberty (County),21009.0,,497209567ef77ebf3dcd712d7ddb674f3d178048,2022-04-26T19:01:43Z,60c3b862a0ee349d710aebc0,,,,,
60972,2021,EM-3554-TX,3554.0,TX,EM,2021-02-14T18:35:00Z,Severe Ice Storm,Severe Winter Storm,0.0,0.0,1.0,0.0,2021-02-11T11:25:28Z,2021-02-21T23:00:00Z,2021-05-14T23:59:00Z,48247.0,99247.0,Jim Hogg (County),21009.0,,4d238ceda4e4487a21080abff354ea33c60984f0,2022-04-26T19:01:43Z,60c3b862a0ee349d710aeb4c,,,,,
