Year,incident_type,Death toll,Damage costUS$,Main article,state,Notes
2004,Hurricane,49,9000000000,Hurricane Frances,FL,
2004,Hurricane,10,15000000000,Hurricane Charley,FL,
2003,Hurricane,51,3600000000,Hurricane Isabel,VA,
2003,Wildfire,15,1331000000,Cedar Fire,CA,The largest and most destructive wildfire recorded in the modern history of San Diego County.[44][47]
2001,Hurricane,41,5500000000,Tropical Storm Allison,TX,
1999,Hurricane,85,6500000000,Hurricane Floyd,NY,
1999,Heat wave,271,,,TN,
1999,Tornado,48,1500000000,1999 Oklahoma tornado outbreak,TX,74 tornadoes
1998 / 1999,Landslide,0,70000000,Aldercrest-Banyon landslide,WA,
1998,Blizzard,30,5000000,North American ice storm of 1998,NY,
1997,Flood,0,2000000000,1997 Red River flood,ND,
1996,Flood,8,500000000,Willamette Valley flood of 1996,WA,
1995,Heat wave,739,,Chicago heat wave of 1995,IL,
1995,Flood,6,1360000000,"May 8, 1995 Louisiana flood",LA,
1994,Earthquake,57,23000000000,Northridge earthquake,CA,
1993,Blizzard,300,6600000000,Storm of the Century,FL,
1993,Flood,50,15000000000,Great Flood of 1993,TN,
1992,Hurricane,6,3100000000,Hurricane Iniki,HI,
1992,Hurricane,26,25000000000,Hurricane Andrew,FL,
1991,Wildfire,25,1500000000,Oakland Hills fire,CA,
1990,Tornado,29,160000000,1990 Plainfield tornado,IL,
1989,Earthquake,69,6000000000,Loma Prieta earthquake,CA,
1989,Hurricane,49,7000000000,Hurricane Hugo,FL,"Damage figure for U.S. only.  At least 111 total deaths, with 37 in the continental U.S. and 12 in the U.S. possession of Puerto Rico."
1988,Heat wave and Drought,10000,1.2E+11,1988-89 North American drought,USA,Costliest natural disaster in the United States prior to Hurricane Katrina.
1988,Wildfire,2,240000000,Yellowstone fires of 1988,WY,"793,880 acres (36% of the park) was burned in the fires started by lightning."
1985,Hurricane,9,1300000000,Hurricane Elena,FL,
1985,Hurricane,14,900000000,Hurricane Gloria,NJ,
1983,Hurricane,21,3000000000,Hurricane Alicia,TX,
1980,Hurricane,6,630000000,Hurricane Allen,TX,
1980,Heat wave,1700,20000000000,1980 United States heat wave,TX,"Official death toll, may have been higher; damage figure not adjusted for inflation."
1980,Volcano,57,1100000000,1980 eruption of Mount St. Helens,WA,"Damage figure not adjusted for inflation; figure in 2015 dollars is 2,890."
1977,Blizzard,23,56250000000,Great Lakes Blizzard of 1977,NY,
1976,Flood,145,,Big Thompson Canyon Flood of 1976,CO,
1974,Tornado,315,,1974 Super Outbreak,GA,148 tornadoes
1972,Flood,238,160000000,1972 Rapid City Flood,SD,"Average rainfall over area of 60 mi2 measured at 10-15 inches (380 mm), over 6 hours in middle of night June 9–10, 1972."
1971,Earthquake,65,500000000,Sylmar earthquake,CA,
1970,Tornado,26,1412000000,Lubbock Tornado,TX,F5 tornado killed 26 and wounded approximately 500
1969,Hurricane,256,1420000000,Hurricane Camille,MS,
1965,Tornado,271,,Palm Sunday Tornado Outbreak,IA,78 tornadoes
1964,Tsunami and Earthquake,115,1800000000,Good Friday earthquake,OR,
1960,Tsunami,61,500000000,Great Chilean earthquake,AK,"2,290 to 6,600 killed and $3,500 M (2005) in damage worldwide. 61 killed in Hilo, Hawaii. $500 M in U.S. property damage"
1957,Tornado,10,26000000,1957 Fargo tornado,ND,
1953,Tornado,114,,,TX,
1951,Flood,28,935000000,Great Flood of 1951,KS,
1950,Blizzard,353,67000000,Great Appalachian Storm of November 1950,NC,
1946,Tsunami and Earthquake,165,,Aleutian Island earthquake,AK,
